MatrixSize,BL_GPU,BL_CPU,BL_Mis,SH_GPU,SH_CPU,SH_Mis,WARP_GPU,WARP_CPU,WARP_Mis,Speedup_BL_vs_SH,Speedup_SH_vs_WARP
32,6.1e-05,0,0,5.84e-05,0,0,6.6e-05,0,0,1.04452,0.884848
64,6.66e-05,0,0,6.26e-05,0,0,6.86e-05,0,0,1.0639,0.912536
128,8.76e-05,0,0,8.54e-05,0,0,9.26e-05,0,0,1.02576,0.922246
256,0.0002804,0,0,0.000274,0,0,0.0002828,0,0,1.02336,0.968883
512,0.0016576,0,0,0.0016148,0,0,0.0016292,0,0,1.0265,0.991161
1024,0.0125798,0,0,0.0122716,0,0,0.0123466,0,0,1.02511,0.993925
2048,0.0989816,0,0,0.0977444,0,0,0.0983274,0,0,1.01266,0.994071
4096,0.771318,0,0,0.781712,0,0,0.785904,0,0,0.986704,0.994666
8192,6.20998,0,0,6.26946,0,0,6.28862,0,0,0.990513,0.996953
