MatrixSize,BL_GPU,BL_CPU,BL_MIS,PS_GPU,PS_CPU,PS_MIS,SH_GPU,SH_CPU,SH_MIS,W_GPU,W_CPU,W_MIS,BL_vs_PS,BL_vs_SH,BL_vs_WARP
32,0.0010189,0,0,0.0005261,0,0,0.0005635,0,0,0.0005864,0,0,1.9367,1.80816,1.73755
64,0.0010097,0,0,0.0005242,0,0,0.0005783,0,0,0.0005859,0,0,1.92617,1.74598,1.72333
128,0.0010218,0,0,0.0005305,0,0,0.0005879,0,0,0.0005895,0,0,1.92611,1.73805,1.73333
256,0.0011018,0,0,0.0005625,0,0,0.0006739,0,0,0.0006959,0,0,1.95876,1.63496,1.58327
512,0.0013618,0,0,0.0007051,0,0,0.0009723,0,0,0.001012,0,0,1.93136,1.4006,1.34565
1024,0.0023725,0,0,0.0012531,0,0,0.0022615,0,0,0.0024049,0,0,1.8933,1.04908,0.986528
2048,0.0079286,0,0,0.0040198,0,0,0.0075307,0,0,0.0079825,0,0,1.97239,1.05284,0.993248
4096,0.0710841,0,0,0.0355626,0,0,0.0463835,0,0,0.0551042,0,0,1.99884,1.53253,1.28999
8192,0.282132,0,0,0.13923,0,0,0.18568,0,0,0.218974,0,0,2.02637,1.51945,1.28843
