MatrixSize,BL_GPU,BL_CPU,BL_Mis,SH_GPU,SH_CPU,SH_Mis,WARP_GPU,WARP_CPU,WARP_Mis,WARP_SINGLE_GPU,WARP_SINGLE_CPU,WARP_SINGLE_Mis,Speedup_BL_vs_SH,Speedup_SH_vs_WARP
32,0.000046,0.000000,0,0.000052,0.000000,0,0.000061,0.000000,0,0.000062,0.000000,0,0.884615,0.852459
64,0.000048,0.000000,0,0.000056,0.000000,0,0.000050,0.000000,0,0.000063,0.000000,0,0.857143,1.12
128,0.000051,0.000000,0,0.000053,0.000000,0,0.000055,0.000000,0,0.000073,0.000000,0,0.962264,0.963636
256,0.000049,0.000000,0,0.000051,0.000000,0,0.000053,0.000000,0,0.000078,0.000000,0,0.960784,0.962264
512,0.000059,0.000000,0,0.000058,0.000000,0,0.000073,0.000000,0,0.000100,0.000000,0,1.01724,0.794521
1024,0.000233,0.000000,0,0.000223,0.000000,0,0.000347,0.000000,0,0.000370,0.000000,0,1.04484,0.642651
2048,0.001558,0.000000,0,0.001380,0.000000,0,0.002515,0.000000,0,0.003289,0.000000,0,1.12899,0.548708
4096,0.012175,0.000000,0,0.010680,0.000000,0,0.026927,0.000000,0,0.032102,0.000000,0,1.13998,0.396628
8192,0.108507,0.000000,0,0.090370,0.000000,0,0.273266,0.000000,0,0.245696,0.000000,0,1.2007,0.330703
